2026-06-27 05:43:25 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-06-27 05:43:25 [main] INFO  c.n.e.EmployeeCvApplication - Starting EmployeeCvApplication using Java 25.0.2 with PID 3035 (/Users/sopheak/IdeaProjects/employee_cv/target/classes started by sopheak in /Users/sopheak/IdeaProjects/employee_cv)
2026-06-27 05:43:25 [main] INFO  c.n.e.EmployeeCvApplication - No active profile set, falling back to 1 default profile: "dev"
2026-06-27 05:43:26 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-06-27 05:43:26 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 52 ms. Found 32 JPA repository interfaces.
2026-06-27 05:43:26 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-06-27 05:43:26 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-06-27 05:43:26 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-06-27 05:43:26 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2026-06-27 05:43:26 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-06-27 05:43:26 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 715 ms
2026-06-27 05:43:26 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-06-27 05:43:26 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2026-06-27 05:43:26 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-06-27 05:43:26 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-06-27 05:43:26 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-06-27 05:43:26 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@76d828ff
2026-06-27 05:43:26 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-06-27 05:43:27 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-06-27 05:43:27 [main] INFO  o.hibernate.orm.connections.access - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@38950138] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2026-06-27 05:43:27 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-06-27 05:43:27 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2026-06-27 05:43:29 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2026-06-27 05:43:29 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@512c5bf5, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@64dbc812, org.springframework.security.web.context.SecurityContextHolderFilter@6d31851b, org.springframework.security.web.header.HeaderWriterFilter@6fb763bd, org.springframework.web.filter.CorsFilter@24a60d68, org.springframework.security.web.authentication.logout.LogoutFilter@1e44794c, com.noc.employee_cv.security.JwtFilter@51b1c8b9, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2eb78c9c, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@50194e56, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@17bae4c8, org.springframework.security.web.session.SessionManagementFilter@6d1e1564, org.springframework.security.web.access.ExceptionTranslationFilter@28c946bf, org.springframework.security.web.access.intercept.AuthorizationFilter@218412a6]
2026-06-27 05:43:29 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-06-27 05:43:29 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2026-06-27 05:43:29 [main] INFO  c.n.e.EmployeeCvApplication - Started EmployeeCvApplication in 3.754 seconds (process running for 4.035)
2026-06-27 05:43:29 [RMI TCP Connection(3)-127.0.0.1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-06-27 05:43:29 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-06-27 05:43:29 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2026-06-27 05:46:20 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-06-27 05:46:20 [main] INFO  c.n.e.EmployeeCvApplicationTests - Starting EmployeeCvApplicationTests using Java 25.0.2 with PID 3769 (started by sopheak in /Users/sopheak/IdeaProjects/employee_cv)
2026-06-27 05:46:20 [main] INFO  c.n.e.EmployeeCvApplicationTests - The following 1 profile is active: "test"
2026-06-27 05:46:21 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-06-27 05:46:21 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 39 ms. Found 32 JPA repository interfaces.
2026-06-27 05:46:21 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-06-27 05:46:21 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
